Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 Hours?	Bipartisan Press Bias
Demonstrations break out in Miami as protestors march against government in Cuba | TheHill	https://news.google.com/articles/CBMieGh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3Mvc3RhdGUtd2F0Y2gvNTYyNDg3LWRlbW9uc3RyYXRpb25zLWJyZWFrLW91dC1pbi1taWFtaS1hcy1wcm90ZXN0b3JzLW1hcmNoLWFnYWluc3QtZ292ZXJubWVudNIBfGh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3Mvc3RhdGUtd2F0Y2gvNTYyNDg3LWRlbW9uc3RyYXRpb25zLWJyZWFrLW91dC1pbi1taWFtaS1hcy1wcm90ZXN0b3JzLW1hcmNoLWFnYWluc3QtZ292ZXJubWVudD9hbXA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Hill				Neutral	1.0	July 11, 2021	True	-1.083446
Trump wins the CPAC straw poll as attendees clamor for him to run again	https://news.google.com/articles/CAIiEPSF8trsxfjXYSBt9PPkkSMqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN				Left	2.0	July 11, 2021	True	BADLINK
Florida-based doctor arrested, accused of playing leading role in assassination of Haiti's president	https://news.google.com/articles/CBMiS2h0dHBzOi8vbmV3cy55YWhvby5jb20vZmxvcmlkYS1iYXNlZC1kb2N0b3ItYXJyZXN0ZWQtYWNjdXNlZC0wMjQyNTY2MjIuaHRtbNIBU2h0dHBzOi8vbmV3cy55YWhvby5jb20vYW1waHRtbC9mbG9yaWRhLWJhc2VkLWRvY3Rvci1hcnJlc3RlZC1hY2N1c2VkLTAyNDI1NjYyMi5odG1s?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Yahoo News				Left	3.0	July 11, 2021	True	-7.042858
California wildfire grows by 20,000 acres, destroys 20 homes	https://news.google.com/articles/CAIiEHj-mFJaBGA2YVdTuGKZDtsqGQgEKhAIACoHCAowvIaCCzDnxf4CMN2F8gU?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	NBC News				Left-Center	4.0	July 11, 2021	True	-1.594434
Israeli crew given 'water salute' for assistance during Surfside building collapse	https://news.google.com/articles/CAIiEF4AcCRZfpxxIvGss7c56XwqGQgEKhAIACoHCAowwL2ICzCckocDMP2lqQY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Fox News				Right	5.0	July 11, 2021	True	7.10045
Jack Reed: Biden made ‘the best of many poor choices’ on Afghanistan	https://news.google.com/articles/CAIiEMGww-MyCUhPajSLA1Mgb3kqGQgEKhAIACoHCAow4Zn5CjCu8uACMLTRlgY?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	POLITICO				Left-Center	6.0	July 11, 2021	True	-0.875597
Several injured after man drives truck into crowd following ejection from club: Police	https://news.google.com/articles/CBMiX2h0dHBzOi8vYWJjbmV3cy5nby5jb20vVVMvaW5qdXJlZC1tYW4tZHJpdmVzLXRydWNrLWNyb3dkLWVqZWN0aW9uLWNsdWItcG9saWNlL3N0b3J5P2lkPTc4NzkwMDk30gFjaHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvVVMvaW5qdXJlZC1tYW4tZHJpdmVzLXRydWNrLWNyb3dkLWVqZWN0aW9uLWNsdWItcG9saWNlL3N0b3J5P2lkPTc4NzkwMDk3?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	ABC News				Left-Center	7.0	July 11, 2021	True	0.722995
"Trump calls Ashli Babbitt an 'incredible woman,"" implicates Democrat"	https://news.google.com/articles/CAIiENenQJBOgAusE-W_B2tdKEYqLQgEKiUIACIbd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vc2FpKgQICjAMMJD-CQ?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	Business Insider				Left-Center	8.0	July 11, 2021	True	-2.200581
US warns China it stands behind South China Sea ruling and is committed to Philippine defense	https://news.google.com/articles/CAIiEIIfYwOmyfz64bxqJVSmllUqMwgEKioIACIQpzoRSNLEm6QR--MasMLSAioUCAoiEKc6EUjSxJukEfvjGrDC0gIw1anKBg?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	CNN				Left	9.0	July 11, 2021	True	BADLINK
Texas Republicans advance elections bills in special session | TheHill	https://news.google.com/articles/CBMibGh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3Mvc3RhdGUtd2F0Y2gvNTYyNDgxLXRleGFzLXJlcHVibGljYW5zLWFkdmFuY2UtZWxlY3Rpb25zLWJpbGxzLWluLXNwZWNpYWwtc2Vzc2lvbtIBcGh0dHBzOi8vdGhlaGlsbC5jb20vaG9tZW5ld3Mvc3RhdGUtd2F0Y2gvNTYyNDgxLXRleGFzLXJlcHVibGljYW5zLWFkdmFuY2UtZWxlY3Rpb25zLWJpbGxzLWluLXNwZWNpYWwtc2Vzc2lvbj9hbXA?hl=en-US&amp;gl=US&amp;ceid=US:en&gl=US&ceid=US:en	The Hill				Neutral	10.0	July 11, 2021	True	-11.197803
