Headline	Article	Publication	Reliability Range (Interactive MB)	Bias Range (Interactive MB)	Audience (Interactive MB)	MB/FC Slant	Rank Number	Date Recorded	Within 24 Hours?	Bipartisan Press Bias
Prior to his murder, Jamal Khashoggi offered to help 9/11 victims suing Saudi Arabia	https://news.yahoo.com/prior-to-his-murder-jamal-khashoggi-offered-to-help-911-victims-suing-saudi-arabia-090018080.html?fr=sycsrp_catchall	Yahoo News				Left-Center	1.0	July 11, 2021	True	-1.817814
Recalling California's governor: long shot or lost cause?	https://news.yahoo.com/recalling-californias-governor-longshot-or-lost-cause-131839794.html?fr=sycsrp_catchall	Yahoo News 360				Left-Center	2.0	July 11, 2021	True	-4.447908
South Africa violence spreads to Johannesburg in wake of Zuma jailing	https://news.yahoo.com/violence-spreads-south-africas-economic-091101664.html?fr=sycsrp_catchall	Reuters				Neutral	3.0	July 11, 2021	True	-1.233389
Colorado police arrest four people and seize multiple guns in apparent 'Las Vegas-style shooting' plot	https://news.yahoo.com/colorado-police-arrest-four-people-144600723.html?fr=sycsrp_catchall	Washington Examiner				Right	4.0	July 11, 2021	True	2.176908
Protests erupt in Georgia after beaten journalist dies	https://news.yahoo.com/protests-erupt-georgia-beaten-journalist-181647581.html?fr=sycsrp_catchall	Associated Press				Neutral	5.0	July 11, 2021	True	-3.179341
Clyburn suggests a filibuster carveout for legislation related to Constitution in lieu of elimination	https://www.yahoo.com/entertainment/clyburn-suggests-filibuster-carveout-legislation-151141060.html	The Week				Left	6.0	July 11, 2021	True	-13.212519
Venice Beach homeless move onto sand when rousted during boardwalk cleanup	https://news.yahoo.com/venice-beach-homeless-move-onto-110000242.html?fr=sycsrp_catchall	Washington Examiner				Right	7.0	July 11, 2021	True	1.951609
"EU border agency to ""significantly"" step up Lithuania help"	https://news.yahoo.com/eu-border-agency-significantly-step-122910011.html?fr=sycsrp_catchall	Associated Press				Neutral	8.0	July 11, 2021	True	-0.153689
In blow to Bernie, $3.5T likely starting point for Dem-only infrastructure bill	https://news.yahoo.com/bernie-bows-reality-210109058.html?fr=sycsrp_catchall	Axios				Left-Center	9.0	July 11, 2021	True	-2.887313
Zuma jailed: Arrests as protests spread in South Africa	https://news.yahoo.com/zuma-jailed-arrests-protests-spread-141315568.html?fr=sycsrp_catchall	BBC				Left-Center	10.0	July 11, 2021	True	-1.707777
Chicago Expressway Shooting: Person critically wounded on I-55, Illinois State Police says	https://news.yahoo.com/man-35-shot-stevenson-expressway-232500166.html?fr=sycsrp_catchall	ABC7 Chicago				Neutral	11.0	July 11, 2021	True	-0.54691
Leaders of N.Korea, China vow greater cooperation in face of foreign hostility: KCNA	https://news.yahoo.com/leaders-n-korea-china-vow-212549540.html?fr=sycsrp_catchall	Reuters				Neutral	13.0	July 11, 2021	False	-0.017865
Hunter Biden's art gallery vandalized, employee attacked: Police	https://news.yahoo.com/hunter-bidens-art-gallery-vandalized-024900263.html?fr=sycsrp_catchall	Washington Examiner				Right	14.0	July 11, 2021	True	2.890793
In Jordan sedition trial, U.S. defendant alleges torture	https://news.yahoo.com/u-defendant-jordanian-sedition-case-204317657.html?fr=sycsrp_catchall	Associated Press				Neutral	15.0	July 11, 2021	True	-4.965959
"The rise of the anti-""woke"" Democrat"	https://news.yahoo.com/lauren-boebert-throws-face-mask-172813955.html?fr=sycsrp_catchall	Axios				Left-Center	16.0	July 11, 2021	False	-8.962923
Pope gradually resuming work, walking, eating with aides, Vatican says	https://news.yahoo.com/pope-gradually-resuming-walking-eating-102321373.html?fr=sycsrp_catchall	Reuters				Neutral	17.0	July 11, 2021	False	-1.159025
Egypt court upholds life sentences for 10 Islamists	https://news.yahoo.com/egypt-court-upholds-life-sentences-160958788.html?fr=sycsrp_catchall	Associated Press				Neutral	18.0	July 11, 2021	True	5.898722
200-lb shark circles fisherman's boat, stares angler right in the eyes	https://news.yahoo.com/200-lb-shark-circles-fisherman-165435688.html?fr=sycsrp_catchall	Fox News				Right	19.0	July 11, 2021	True	14.337797
										ERROR
More migrant deaths recorded in heat along Arizona border	https://news.yahoo.com/more-migrant-deaths-recorded-heat-190101013.html?fr=sycsrp_catchall	Associated Press				Neutral	1.0	July 12, 2021	True	-0.887546
Seattle woman says flight attendant 'humiliated' her over dirty diaper, said she was on no-fly list	https://news.yahoo.com/woman-threw-away-dirty-diaper-114537108.html?fr=sycsrp_catchall	NBC News				Left-Center	2.0	July 12, 2021	True	-1.121266
Everything was going wrong in his life, but then he won D.C.'s vaccine lottery	https://news.yahoo.com/everything-going-wrong-life-then-175337781.html?fr=sycsrp_catchall	Washington Post				Left-Center	3.0	July 12, 2021	True	-5.073568
Death toll at Miami-area condo collapse site climbs to 94	https://news.yahoo.com/coronavirus-infects-vaccinated-leader-florida-104727118.html?fr=sycsrp_catchall	Associated Press				Neutral	4.0	July 12, 2021	True	-0.676721
Despite Outbreaks Among Unvaccinated, Fox News Hosts Smear Shots	https://news.yahoo.com/despite-outbreaks-among-unvaccinated-fox-115711314.html?fr=sycsrp_catchall	The New York Times				Left-Center	5.0	July 12, 2021	True	-10.347284
An exodus of educators: Resignations hit schools amid furor over critical race theory	https://www.yahoo.com/now/growing-animosity-over-critical-race-083200531.html	NBC News				Left-Center	6.0	July 12, 2021	True	-11.106733
Biden: federal, local governments must work together to fight U.S. crime	https://news.yahoo.com/biden-meet-local-leaders-rev-100314872.html?fr=sycsrp_catchall	Reuters				Neutral	7.0	July 12, 2021	True	0.385178
Haiti president's assassination: What we know so far	https://www.yahoo.com/entertainment/haiti-presidents-assassination-know-far-175158058.html	BBC				Left-Center	8.0	July 12, 2021	True	-3.770602
Ex-judge: EU law mission in Kosovo holds anti-Albanian bias	https://news.yahoo.com/ex-judge-eu-law-mission-150405136.html?fr=sycsrp_catchall	Associated Press				Neutral	9.0	July 12, 2021	True	-1.435064
Senate Dems plan use of budget maneuver they once called a gimmick	https://news.yahoo.com/senate-dems-plan-budget-maneuver-004744099.html?fr=sycsrp_catchall	Axios				Left-Center	10.0	July 12, 2021	True	-4.384541
