,Yahoo News Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
0,Garland bars prosecutors from seizing reporters' records,Associated Press,LEAST BIASED,1,"July 19, 2021",True
1,China reports its first death of a human from rare Monkey B virus,Washington Post,LEFT-CENTER BIAS,2,"July 19, 2021",True
2,"Job-Hunters, Have You Posted Your Résumé on TikTok?",The New York Times,LEFT-CENTER BIAS,3,"July 19, 2021",True
3,Senate hearing in Georgia highlights growing alarm over potential post-election meddling,Yahoo News,LEFT-CENTER BIAS,4,"July 19, 2021",True
4,"Massive and mysterious, a 100-pound fish washed ashore. Scientists hope to learn its secrets.",Washington Post,LEFT-CENTER BIAS,5,"July 19, 2021",False
5,Marjorie Taylor Greene's Twitter account suspended for 12 hours over COVID misinformation,Axios,LEFT-CENTER BIAS,6,"July 19, 2021",True
6,Obama Pentagon official: Afghanistan troop withdrawal 'is not going to be a pretty picture',Yahoo News,LEFT-CENTER BIAS,7,"July 19, 2021",True
7,Haitian president reportedly spent 10 minutes frantically calling for help before assassination,The Week,LEFT BIAS,8,"July 19, 2021",True
8,Texas woman sentenced for threatening sex trafficking victim who is set to testify,Fort Worth Star-Telegram,RIGHT-CENTER BIAS,9,"July 19, 2021",True
9,Syrian air defences intercept Israeli attack over Aleppo - state media,Reuters,LEAST BIASED,10,"July 19, 2021",True
10,Man charged with murder of NC teacher who tried robbing Mexican cartel member,Charlotte Observer,LEFT-CENTER BIAS,11,"July 19, 2021",True
11,"Biden wants spending to boost economy, but GOP to block vote",Associated Press,LEAST BIASED,12,"July 19, 2021",True
12,China reports spike in new coronavirus cases on border with Myanmar,Reuters,LEAST BIASED,13,"July 19, 2021",True
13,Cruise industry has a right to protect its passengers from COVID-19. Court backs it up | Opinion,Miami Herald,LEFT-CENTER BIAS,14,"July 19, 2021",True
14,Capitol rioter who breached Senate sentenced to 8 months in prison for felony,Yahoo News Video,QUESTIONABLE SOURCE,15,"July 19, 2021",True
15,FBI agent in investigation of Whitmer kidnap plot is charged,Associated Press,LEAST BIASED,16,"July 19, 2021",True
16,Lindsey Graham's threat to flee Washington is part of a troubling trend,The Week,LEFT BIAS,17,"July 19, 2021",True
17,Canada to open border to fully vaccinated Americans in August,BBC,LEFT-CENTER BIAS,18,"July 19, 2021",True
18,Olympic Village COVID-19 infection bubble already 'broken' - health expert,Reuters,LEAST BIASED,19,"July 19, 2021",True
19,Calls for outside help as extreme weather fuels Oregon fires,Associated Press,LEAST BIASED,20,"July 19, 2021",True
20,Blinken meets Belarus opposition leader as criticism mounts,Associated Press,LEAST BIASED,21,"July 19, 2021",True
21,Nigeria fighter plane shot down by bandits - military,BBC,LEFT-CENTER BIAS,22,"July 19, 2021",True
22,Michael Wolff to Brian Stelter: You are 'one of the reasons people can't stand the media',Washington Examiner,RIGHT BIAS,23,"July 19, 2021",False
23,"Ben & Jerry's to stop sales in West Bank, east Jerusalem",Associated Press,LEAST BIASED,24,"July 19, 2021",True
24,Turkish president: Two-state deal only way for Cyprus peace,Associated Press,LEAST BIASED,25,"July 19, 2021",True
25,The little tech firm gunning for an airspeed record,BBC,LEFT-CENTER BIAS,26,"July 19, 2021",True
26,"As Delta variant spreads, Beshear recommends return to indoor masking for some",Lexington Herald-Leader,LEFT-CENTER BIAS,27,"July 19, 2021",True
27,Donald Trump just gave Nikki Haley something to worry about,The State,LEFT-CENTER BIAS,28,"July 19, 2021",True
28,Fox News' Geraldo Rivera says it's 'crazy talk' to say not getting the COVID-19 vaccine is a 'constitutional right',Business Insider,LEFT-CENTER BIAS,29,"July 19, 2021",True
29,"Twin cheerleading stars sexually abused by coach at Frisco, Plano gyms, lawsuit says",Fort Worth Star-Telegram,RIGHT-CENTER BIAS,30,"July 19, 2021",True
