Top Stories,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 hours?,,Factual Reporting,,(probably not needed)
Voting bills advance in Texas Legislature after overnight committe hearings,,The Texas Tribune,,,,Left-Center,1,"July 11, 2021",,,High,,
What Virgin Galactic's milestone flight means for the future of tourists in space,,National Geographic,46.11,-2.58,,Pro-Science,2,"July 11, 2021",,,High,,
"It's two steps forward, 10 steps back:' Brexit, shifting demographics and familiar tensions stoke divisions in Northern Ireland",,CNN,43.77,-8.78,"79,900,000",Left,3,"July 11, 2021",,,Mixed,,
Italy beat England in shootout to win 2020 European Championship,,ESPN,,,,Left-Center,4,"July 11, 2021",,,High,,
Heat wave keeps baking West after all-time high in Las Vegas on Saturday,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,5,"July 11, 2021",,,Mostly Factual,,
Death toll rises to 90 in Surfside condominium collapse. New victims include 3 children,,Miami Herald,46.7,-3.86,,Left-Center,6,"July 11, 2021",,,High,,
They will never let go': Isis fighters regroup in the heart of Iraq,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,7,"July 11, 2021",,,Mixed,,
Fencing around U.S. Capitol removed six months after deadly Jan. 6 attack,,REUTERS,49.3,-1.65,"40,574,000",Neutral,8,"July 11, 2021",,,Very High,,
Richard Branson's Virgin Galactic Flight Opens Door to Space Tourism,,REUTERS,49.3,-1.65,"40,574,000",Neutral,9,"July 11, 2021",,,Mostly Factual,,
Novak Djokovic wins Wimbledon to claim record-tying 20th Grand Slam victory,,ESPN,,,,Left-Center,10,"July 11, 2021",,,High,,
"Novak Djokovic wins 20th Grand Slam at Wimbledon, ties men's all-time record",,USA Today,45.77,-4.12,"44,075,000",Left-Center,11,"July 11, 2021",,,High,,
2 firefighters killed as Western wildfires intensify in heat wave,,NBC News,45.81,-7.46,"26,225,000",Left-Center,12,"July 11, 2021",,,High,,
Haitians hope 'the truth will come out' as foreign investigators probe assassination of their  President,,CNN,43.77,-8.78,"79,900,000",Left,13,"July 11, 2021",,,Mixed,,
Illinois Has a Program to Compensate Victims of Violent Crimes. Few Applicants Receive Funds.,,The TRACE,,,,Left-Center,14,"July 11, 2021",,,High,,
Florida condo collapse spurs many cities to action - but some worry residents will  resist,,USA Today,45.77,-4.12,"44,075,000",Left-Center,15,"July 11, 2021",,,High,,
Heat wave hit Northwest business from Christmas trees and doughnuts to fish,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,16,"July 11, 2021",,,Mostly Factual,,
"In Haiti, rivals claw for power as crisis escalates after assassination",,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,17,"July 11, 2021",,,Mostly Factual,,
Branson and Virgin Galactic complete successful space flight,,CBS News,48.04,-3.14,"24,400,000",Left-Center,18,"July 11, 2021",,,High,,
Ethiopia PM Abiy's party wins lanslide victory in election,,REUTERS,49.3,-1.65,"40,574,000",Neutral,19,"July 11, 2021",,,Very High,,
"Heat Wave Killed An Estimated 1 Billion Sea Creatures, And Scientists Fear Even Worse",,NPR,46.41,-5.24,"38,240,000",Left-Center,20,"July 11, 2021",,,Very High,,
Soaring temps approaching all-time world record in the Southwest this weekend,,AccuWeather,,,,N/A,21,"July 11, 2021",,,N/A,,
Florida condo collapse sparks calls for tighter laws,,The Wall Street Journal,46.32,4.92,"39,430,000",Right-Center,22,"July 11, 2021",,,Mostly Factual,,
"With an uptick in Covid-19 cases, there is growing alarm. 'We've seen almost an entire takeover in the Delta variant,' one state official says",,CNN,43.77,-8.78,"79,900,000",Left,23,"July 11, 2021",,,Mixed,,
"In California's interior, there's no escapre from the desperate heat: ""Why are we even here?""",,The Guardian,44.42,-9.93,"88,750,000",Left-Center,24,"July 11, 2021",,,Mixed,,
Who killed Haiti's president? Plot thickens as Moise's guards come under scrutiny,,Los Angeles Times,,,,Left-Center,25,"July 11, 2021",,,High,,
How Indigenous leaders are pushing to vaccinate their hard-hit communities,,National Geographic,46.11,-2.58,,Pro-Science,26,"July 11, 2021",,,High,,
Death toll reaches 86 in Surfside collapse. Site to be cleared 'sooner than expected',,Miami Herald,46.7,-3.86,,Left-Center,27,"July 11, 2021",,,High,,
"One counselor, 665 students: Counselors stretched at Chicago's majority Latino schools",,Chalkbeat,,,,N/A,28,"July 11, 2021",,,N/A,,
Branson flight signals confidence in commercial spaceflight,,CBS News,48.04,-3.14,"24,400,000",Left-Center,29,"July 11, 2021",,,High,,
Rent prices are soaring as Americans flock back to cities,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,30,"July 11, 2021",,,Mostly Factual,,
Third statue comes down in Charlottesville,,NBC News,45.81,-7.46,"26,225,000",Left-Center,31,"July 11, 2021",,,High,,
Western states face possible all-time heat records this weekend,,CNN,43.77,-8.78,"79,900,000",Left,32,"July 11, 2021",,,Mixed,,
Charlottesville Removes Robert E. Lee Statue That Sparked A Deadly Rally,,NPR,46.41,-5.24,"38,240,000",Left-Center,33,"July 11, 2021",,,Very High,,
"Cat that lived in collapsed Surfside condo tower is found safe, reunited with family",,Miami Herald,46.7,-3.86,,Left-Center,34,"July 11, 2021",,,High,,
Biden's bid to take on big business sets off battle over who holds power in U.S. economy,,The Washington Post,44.05,-7.42,"76,195,000",Left-Center,35,"July 11, 2021",,,Mostly Factual,,
Scorching weekend heat expected to hit 30+ million people in West with temps up to 130 degrees,,USA Today,45.77,-4.12,"44,075,000",Left-Center,36,"July 11, 2021",,,High,,
Lawyers for Breonna Taylor's family sue police over existence of body camera footage,,ABC News,47.28,-4.9,"39,500,000",Left-Center,37,"July 11, 2021",,,High,,
We live in a desert. We have to act like it': Las Vegas faces reality of drought,,The Guardian,44.42,-9.93,"88,750,000",Left-Center,38,"July 11, 2021",,,Mixed,,
"A third of Wisconsin's wolves killed after losing protections this year, study says",,National Geographic,46.11,-2.58,,Pro-Science,39,"July 11, 2021",,,High,,
Where Are The Newest COVID Hot Spots? Mostly Places With Low Vaccination Rates,,NPR,46.41,-5.24,"38,240,000",Left-Center,40,"July 11, 2021",,,Very High,,
Why were Colombian ex-soldiers in Haiti? Experts say they are popular mercenaries,,REUTERS,49.3,-1.65,"40,574,000",Neutral,41,"July 11, 2021",,,Very High,,
