Headline,Article,Publication,Reliability Range (Interactive MB),Bias Range (Interactive MB),Audience (Interactive MB),MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
"Prior to his murder, Jamal Khashoggi offered to help 9/11 victims suing Saudi Arabia",,Yahoo News,,,,Left-Center,1,"July 11, 2021",TRUE
Recalling California's governor: long shot or lost cause?,,Yahoo News 360,,,,Left-Center,2,"July 11, 2021",TRUE
South Africa violence spreads to Johannesburg in wake of Zuma jailing,,Reuters,,,,Neutral,3,"July 11, 2021",TRUE
Colorado police arrest four people and seize multiple guns in apparent 'Las Vegas-style shooting' plot,,Washington Examiner,,,,Right,4,"July 11, 2021",TRUE
Protests erupt in Georgia after beaten journalist dies,,Associated Press,,,,Neutral,5,"July 11, 2021",TRUE
Clyburn suggests a filibuster carveout for legislation related to Constitution in lieu of elimination,,The Week,,,,Left,6,"July 11, 2021",TRUE
Venice Beach homeless move onto sand when rousted during boardwalk cleanup,,Washington Examiner,,,,Right,7,"July 11, 2021",TRUE
"EU border agency to ""significantly"" step up Lithuania help",,Associated Press,,,,Neutral,8,"July 11, 2021",TRUE
"In blow to Bernie, $3.5T likely starting point for Dem-only infrastructure bill",,Axios,,,,Left-Center,9,"July 11, 2021",TRUE
Zuma jailed: Arrests as protests spread in South Africa,,BBC,,,,Left-Center,10,"July 11, 2021",TRUE
"Chicago Expressway Shooting: Person critically wounded on I-55, Illinois State Police says",,ABC7 Chicago,,,,Neutral,11,"July 11, 2021",TRUE
"Leaders of N.Korea, China vow greater cooperation in face of foreign hostility: KCNA",,Reuters,,,,Neutral,13,"July 11, 2021",FALSE
"Hunter Biden's art gallery vandalized, employee attacked: Police",,Washington Examiner,,,,Right,14,"July 11, 2021",TRUE
"In Jordan sedition trial, U.S. defendant alleges torture",,Associated Press,,,,Neutral,15,"July 11, 2021",TRUE
"The rise of the anti-""woke"" Democrat",,Axios,,,,Left-Center,16,"July 11, 2021",FALSE
"Pope gradually resuming work, walking, eating with aides, Vatican says",,Reuters,,,,Neutral,17,"July 11, 2021",FALSE
Egypt court upholds life sentences for 10 Islamists,,Associated Press,,,,Neutral,18,"July 11, 2021",TRUE
"200-lb shark circles fisherman's boat, stares angler right in the eyes",,Fox News,,,,Right,19,"July 11, 2021",TRUE
,,,,,,,,,
More migrant deaths recorded in heat along Arizona border,,Associated Press,,,,Neutral,1,"July 12, 2021",TRUE
"Seattle woman says flight attendant 'humiliated' her over dirty diaper, said she was on no-fly list",,NBC News,,,,Left-Center,2,"July 12, 2021",TRUE
"Everything was going wrong in his life, but then he won D.C.'s vaccine lottery",,Washington Post,,,,Left-Center,3,"July 12, 2021",TRUE
Death toll at Miami-area condo collapse site climbs to 94,,Associated Press,,,,Neutral,4,"July 12, 2021",TRUE
"Despite Outbreaks Among Unvaccinated, Fox News Hosts Smear Shots",,The New York Times,,,,Left-Center,5,"July 12, 2021",TRUE
An exodus of educators: Resignations hit schools amid furor over critical race theory,,NBC News,,,,Left-Center,6,"July 12, 2021",TRUE
"Biden: federal, local governments must work together to fight U.S. crime",,Reuters,,,,Neutral,7,"July 12, 2021",TRUE
Haiti president's assassination: What we know so far,,BBC,,,,Left-Center,8,"July 12, 2021",TRUE
Ex-judge: EU law mission in Kosovo holds anti-Albanian bias,,Associated Press,,,,Neutral,9,"July 12, 2021",TRUE
Senate Dems plan use of budget maneuver they once called a gimmick,,Axios,,,,Left-Center,10,"July 12, 2021",TRUE
Biden to call efforts to restrict voting 'authoritarian' in speech -White House,,Reuters,,,,Neutral,11,"July 12, 2021",TRUE
Check Out 9 of the Most Stylish Airbnbs Along Mexico's Pacific and Caribbean Coasts,,Architectural Digest,,,,Not sure,12,"July 12, 2021",FALSE
South Africa deploys military to tackle Zuma riots,,BBC,,,,Left-Center,13,"July 12, 2021",TRUE
4 tourists ordered off Bali for violating virus restrictions,,Associated Press,,,,Neutral,14,"July 12, 2021",FALSE
Philippines calls allegation of China election influence 'nonsense',,Reuters,,,,Neutral,15,"July 12, 2021",TRUE
"Over 300,000 demand inquiry into 'Biden family corruption'",,Washington Examiner,,,,Right,16,"July 12, 2021",TRUE
Hong Kong police arrest 5 more in alleged bomb plot,,Associated Press,,,,Neutral,17,"July 12, 2021",TRUE
White House does not rule out Haiti request for U.S. troops,,Reuters,,,,Neutral,18,"July 12, 2021",TRUE
Georgian parliament stormed after journalist's death,,Reuters,,,,Neutral,19,"July 12, 2021",TRUE
Merkel doubts Biden meeting will solve gas pipeline dispute,,Associated Press,,,,Neutral,20,"July 12, 2021",TRUE
Student charged with putting Hitler quote in school yearbook,,Associated Press,,,,Neutral,21,"July 12, 2021",TRUE
Psaki shoots down Clyburn's call for Biden to endorse filibuster carveout,,The Week,,,,Left,22,"July 12, 2021",TRUE
